sep=;
Año;Mes;Concepto;Pais / PV;Concepto II;Descripción;Moneda;Valor;Index Concepto;Columnas objetivo;Ámbito(s);Scope;Box;Column;Row;Source;Descripción resumen;Amount_text resumen
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv324;tottocowlpv324 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;36;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv20;tottocowlpv20 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;37;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv309;tottocowlpv309 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;38;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv62;tottocowlpv62 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;39;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv175;tottocowlpv175 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;40;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv101;tottocowlpv101 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;41;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv64;tottocowlpv64 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;42;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv15;tottocowlpv15 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;43;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv113;tottocowlpv113 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;44;column_exact;;
2025;12;Tasa mensual fija de mantenimiento de cada Seller White Label;tottocowlpv146;tottocowlpv146 / 1 WhiteLabel;"0 USD; The selected range was from 2 to 200";USD;0,00;3;;;MainAccount;0;3;45;column_exact;;
